Площадь,Количество комнат,Этаж,Количество этажей в доме,Цена,Адрес,Изображения,Описание,S3_изображения,Количество_фото
34.0,1,6,24,73500,ЖК «Татьянин Парк»,"['avatars.mds.yandex.net/get-realty-offers/16304208/8b79c5e5-d9c4-4e95-9298-00bbb498ecde/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15116930/ec9b8452-a586-4c17-8b03-be837a61861d/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14773815/1dc92925-a173-4b71-96d5-c10f0b6deaf7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12720821/6a26529e-046f-4fc9-bb6e-badaf5f13fbe/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15165363/22710ea6-de4d-4f39-9c76-15211b5d563e/app_snippet_large']","Сдаётся 1-комнатная квартира площадью 34 кв.м. с косметическим ремонтом на 6 этаже в 24-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка  Пылесос Дом - кирпичный, окна выходят во двор.","['s3://realty-images/flats/10/image_1.jpg', 's3://realty-images/flats/10/image_2.jpg', 's3://realty-images/flats/10/image_3.jpg', 's3://realty-images/flats/10/image_4.jpg', 's3://realty-images/flats/10/image_5.jpg']",5
46.0,1,7,18,120000,Квартал «Ривер Парк Коломенское»,"['avatars.mds.yandex.net/get-realty-offers/13865254/c227de21-c1ab-424a-ae38-e8af3706c5fe/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15375780/5c6f0825-a3bf-4590-84aa-ab8887ef2dd4/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15540911/7de11161-1c25-484c-97bd-abd101386bb7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18101215/892d3191-7f38-45c5-8e93-98893d984093/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11556715/064810bd-2907-4cbe-82b6-d5d6e2dc2465/app_snippet_large']",Id 60347. Сдается евро-2-комнатная квартира с дизайнерским ремонтом. Основные характеристики квартиры:  Площадь: 46м (Кухня-Гостиная и изолированная спальня).  Ремонт: Выполнен качественный дизайнерский ремонт с использованием современных и,"['s3://realty-images/flats/11/image_1.jpg', 's3://realty-images/flats/11/image_2.jpg', 's3://realty-images/flats/11/image_3.jpg', 's3://realty-images/flats/11/image_4.jpg', 's3://realty-images/flats/11/image_5.jpg']",5
47.0,1,9,15,155000,ЖК «ЗИЛАРТ»,"['avatars.mds.yandex.net/get-realty-offers/16258130/098dfa74-ec8c-4cff-ace9-aa652797e31e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18141612/652d6bfb-ff12-4ae5-9e7d-528ff03f7b50/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15480901/c571fa55-fa83-46f2-a4be-b75764dc86b1/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15216618/0a37d337-8086-4b91-b680-dff4c5d063b0/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15204576/d1804f2e-724c-4dbd-b7b4-1d597ce1641c/app_snippet_large']","Id 61404. Сдается стильная евро двухкомнатная квартира с дизайнерским ремонтом в жилом комплексе бизнес-класса ""Зиларт"". Удобная планировка с просторной кухней-гостиной, и изолированной спальней. Дом находится на первой береговой линии. О квартире: -","['s3://realty-images/flats/12/image_1.jpg', 's3://realty-images/flats/12/image_2.jpg', 's3://realty-images/flats/12/image_3.jpg', 's3://realty-images/flats/12/image_4.jpg', 's3://realty-images/flats/12/image_5.jpg']",5
31.4,1,14,25,75000,Кольская 8,"['avatars.mds.yandex.net/get-realty-offers/15049560/eadc31f1-74b3-4b53-8612-07b745e33db9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15204576/67e809ac-b1d2-41d0-bb0b-5a3299b6a076/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18870748/809b2920-a8dc-42d0-8f96-152e1c3c6699/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/4fd873e5-dbf9-470f-b10d-2b576f5427d9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18319046/2bbcaab2-8052-4d53-bf60-f7c32ea81552/app_snippet_large']","Предлагается к долгосрочной аренде полноценная однокомнатная квартира! Просторная кухня-гостиная, совмещённый санузел, уютная спальня. Полностью меблирована и укомплектована всей необходимой мебелью и техникой для комфортного проживания. Окна выходят","['s3://realty-images/flats/13/image_1.jpg', 's3://realty-images/flats/13/image_2.jpg', 's3://realty-images/flats/13/image_3.jpg', 's3://realty-images/flats/13/image_4.jpg', 's3://realty-images/flats/13/image_5.jpg']",5
35.0,1,12,15,55000,Мякинино парк,"['avatars.mds.yandex.net/get-realty-offers/13844304/cee06c83-4676-49b3-b15f-1f2275a9d9f9/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18319046/088fd534-6ed7-4c3b-9c55-51c45443bbe0/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18101215/9754c515-a060-4c1f-b60b-690de42d1da2/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15438525/98342f1a-9bfe-42d0-85d5-e804c3d7d016/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17716653/bf06a90b-cb1e-4660-9cf2-7a46b9419196/app_snippet_large']","Сдаётся 2-комнатная квартира площадью 35 кв.м. с евроремонтом на 12 этаже в 25-этажном доме. Из техники есть:  Телевизор  Стиральная машина  Холодильник  Микроволновка  Пылесос Дом - панельный, окна выходят во двор. В подъезде 2 лифта - 1 грузовой и","['s3://realty-images/flats/14/image_1.jpg', 's3://realty-images/flats/14/image_2.jpg', 's3://realty-images/flats/14/image_3.jpg', 's3://realty-images/flats/14/image_4.jpg', 's3://realty-images/flats/14/image_5.jpg']",5
35.0,1,2,16,70000,"Заревый проезд,6","['avatars.mds.yandex.net/get-realty-offers/9896606/add.d40fe65e7bc582d4f53112ea3fb6a8e9.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11461828/add.6e6bf9b3a952f913cfbc582e5f262a11.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14178776/add.3695710769b48929a9f701a34e321cc0.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18141612/add.2a6af492c647c5ebdddfa884e4831910.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14385517/add.ed8b83a169145d262a0a48f26a5648b0.realty-api-vos/app_snippet_large']","Теплый дом В связи c бoльшим кoличествoм звoнков и обращений мы нe всeгда мoжeм вoвpeмя отвeтить вaм! Бoльшaя пpocьба при обрaщeнии в личныe сообщeния, cрaзу оcтaвляйте номеp тeлефона. Принoсим извинения зa времeнныe неудoбствa. Пoка Вы ломаетe","['s3://realty-images/flats/15/image_1.jpg', 's3://realty-images/flats/15/image_2.jpg', 's3://realty-images/flats/15/image_3.jpg', 's3://realty-images/flats/15/image_4.jpg', 's3://realty-images/flats/15/image_5.jpg']",5
40.4,1,10,13,50000,ЖК «Алхимово»,"['avatars.mds.yandex.net/get-realty-offers/18141612/20fd6c50-689a-4820-827d-defb8ad8f5b2/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17716653/c209e61c-3cef-48e9-ad8c-c0f74ccb7316/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14789446/d50a10fa-b3aa-426d-be53-3acb677b382f/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18345797/e8ce52b3-6e26-4aff-b306-018ea318efd1/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14106973/1f7fe077-16b9-45e6-b57e-d567dbb351c7/app_snippet_large']","Арт. 129412924 Сдается уютная евродвухкомнатная квартира с ремонтом в новом доме в районе Щербинка, на Алхимовской улице 1 к 4. Общая площадь квартиры  40,4. В наличии вся необходимая мебель и техника: холодильник, посудомоечная машина, стиральная","['s3://realty-images/flats/16/image_1.jpg', 's3://realty-images/flats/16/image_2.jpg', 's3://realty-images/flats/16/image_3.jpg', 's3://realty-images/flats/16/image_4.jpg', 's3://realty-images/flats/16/image_5.jpg']",5
34.4,1,9,13,43000,ЖК «Алхимово»,"['avatars.mds.yandex.net/get-realty-offers/14885322/c116edb5-4dc9-46f1-af03-2bb80bd4eeff/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16258130/b6832ec5-5ca1-4903-8fa9-5b47ca07cc49/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16386144/f4230bd8-b8b9-4287-8794-ac61ae5ec15c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17711177/b3bfe06c-ac3c-4097-ab1a-ee5cc667477e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13814138/a334e5d3-8311-4049-9186-bc26a53f2786/app_snippet_large']","Арт. 76153135 Сдается евродвушка 34,4 м2. Окна выходят во двор. Залог 15 000. Рядом расположены две станции метро МЦД-2: Силикатная и Остафьево. Также ходит автобус до м. Бунинская Аллея. Школы, сады, больница, магазины, кафе, спортивные центры и","['s3://realty-images/flats/17/image_1.jpg', 's3://realty-images/flats/17/image_2.jpg', 's3://realty-images/flats/17/image_3.jpg', 's3://realty-images/flats/17/image_4.jpg', 's3://realty-images/flats/17/image_5.jpg']",5
40.0,1,19,23,94000,"Квартал «Зорге 9», 3 квартал 2024","['avatars.mds.yandex.net/get-realty-offers/10504983/7489f88b-5cc7-46e2-b1b5-3a2b14d71dae/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13100417/012059c4-2960-4239-afbe-c5e3dfc995a7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15528624/b0b3e3f0-8a4f-4f63-8c73-1127daa96d4e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11491758/a073af64-4d85-412b-9647-294e4b1d248c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11909678/cf662f8b-f419-4a35-99fa-71be97592b90/app_snippet_large']","Id 60120. Сдаются апартаменты формата евро-2 на длительный срок. Сдаются впервые. При ремонте использовались дорогие и качественные материалы, установлены панорамные окна из которых открывается потрясающий вид. В жилом комплексе расположены","['s3://realty-images/flats/18/image_1.jpg', 's3://realty-images/flats/18/image_2.jpg', 's3://realty-images/flats/18/image_3.jpg', 's3://realty-images/flats/18/image_4.jpg', 's3://realty-images/flats/18/image_5.jpg']",5
50.0,1,4,33,200000,ЖК Левел Павелецкая Сити,"['avatars.mds.yandex.net/get-realty-offers/15352718/4688fb98-64df-43d8-938d-db16cf7616e8/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13745081/8292616f-deab-462a-8871-4fe8cb930e77/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17702536/5333615a-43cd-4388-a562-120735e55c64/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17824425/9abdc797-1d73-4892-a0b3-7d808740576b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14896786/fbb83000-23a8-45a4-890a-609a186f5054/app_snippet_large']",Id 60135. Стильная евро-двушка 50 м в новом ЖК бизнес-класса (2024 г.) Сдаётся в аренду просторная квартира с дизайнерским ремонтом в идеальном состоянии. Расположение: 15 минут пешком до м. «Серпуховская» / «Павелецкая». Основные характеристики:,"['s3://realty-images/flats/19/image_1.jpg', 's3://realty-images/flats/19/image_2.jpg', 's3://realty-images/flats/19/image_3.jpg', 's3://realty-images/flats/19/image_4.jpg', 's3://realty-images/flats/19/image_5.jpg']",5
43.0,1,2,30,90000,Квартал «Водный»,"['avatars.mds.yandex.net/get-realty-offers/14546183/a0350a6b-4708-4fc6-9588-2efd935ea236/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15037245/7da89d4f-da52-485c-b283-6dea7a073245/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13693183/9645f6da-675c-40ac-9281-e674bb3db295/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11431992/fb6e4cb8-188b-48fc-a9a1-0bacedbac464/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11402321/71806460-66d8-49c1-a94f-e50bcfffc819/app_snippet_large']","Id 61802. Стильная евро-двухкомнатная квартира с дизайнерским ремонтом в современном монолитном комплексе ЖК ""Водный"". Представляем к сдаче премиальную однокомнатную квартиру площадью 43 кв. м в современном 30-этажном доме. Квартира расположена на","['s3://realty-images/flats/20/image_1.jpg', 's3://realty-images/flats/20/image_2.jpg', 's3://realty-images/flats/20/image_3.jpg', 's3://realty-images/flats/20/image_4.jpg', 's3://realty-images/flats/20/image_5.jpg']",5
46.0,1,3,12,41000,"НАО,район Щербинка,Гореловская улица,3","['avatars.mds.yandex.net/get-realty-offers/15209291/4696de95-d6e7-4d51-b688-ebe794400897/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/13231274/a8c998be-9e5b-48f4-8fb3-d04ff661bd22/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15209291/52c14857-c9fd-4650-bbf3-cd4b85065823/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/10501146/9f658448-1c11-48e9-b4a1-4ec2bacf2876/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18041365/a5f2cb8e-2e64-4b35-9155-18354378e8ef/app_snippet_large']","Заезд возможен с 24.03.2026. Сдаётся 1-комнатная квартира площадью 46 кв.м. с евроремонтом на 3 этаже в 12-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Микроволновка  Пылесос Дом - монолитный,","['s3://realty-images/flats/21/image_1.jpg', 's3://realty-images/flats/21/image_2.jpg', 's3://realty-images/flats/21/image_3.jpg', 's3://realty-images/flats/21/image_4.jpg', 's3://realty-images/flats/21/image_5.jpg']",5
40.0,1,9,19,72000,ЖК «Бунинские Кварталы»,"['avatars.mds.yandex.net/get-realty-offers/14276751/fa6cde84-18ff-4c54-b641-9f54d12ee676/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16444596/eaa72ef0-fed0-4f3c-8599-341a4efba546/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14807254/b1c45848-a876-4775-83f5-9a828ed60f52/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16445801/0f18fe19-1229-4103-bf77-19c2f3aac90d/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/f32c9a3f-5c0c-42e4-bc2f-85f343fd3be0/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 40 кв.м. с евроремонтом на 9 этаже в 19-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина  Кондиционер  Микроволновка Дом -,"['s3://realty-images/flats/22/image_1.jpg', 's3://realty-images/flats/22/image_2.jpg', 's3://realty-images/flats/22/image_3.jpg', 's3://realty-images/flats/22/image_4.jpg', 's3://realty-images/flats/22/image_5.jpg']",5
37.0,1,8,12,58000,"Тимирязевская улица,23","['avatars.mds.yandex.net/get-realty-offers/13231274/add.1bac47bea75f9aeabbfb50f01b2e2b4d.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12691177/add.a0a08ef05c929abf01195e55273b8d61.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/add.ee59593f8b232ef8851773d62110c417.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14744021/add.5cde03258b83c9fed2b1549fcfbb5889.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14804480/add.a0bd349a5392aa35eac7e88efee72bc6.realty-api-vos/app_snippet_large']","Сдается квартира после ремонта. Светлая уютная квартира . От метро Тимирязевская 10 минут пешком. Кухня 10 кв.м. там можно разложить кресло-кровать . Балкон застекленный. Холодильник, газовая плита, стиральная машина, телевизор, утюг есть. В комнате","['s3://realty-images/flats/23/image_1.jpg', 's3://realty-images/flats/23/image_2.jpg', 's3://realty-images/flats/23/image_3.jpg', 's3://realty-images/flats/23/image_4.jpg', 's3://realty-images/flats/23/image_5.jpg']",5
